compound_iso_smiles,affinity
Cc1[nH]n(C(C)(C)C)c(=O)c1Sc1ccc(Cl)cc1,5.199998172
CC(Oc1ccccc1)C(=O)Nc1cccc(-c2nc3ccccc3[nH]2)c1,5.650004101
Oc1cc(Cl)c(Cl)c(Cl)c1Cl,5.149997414
CSC1=N/C(=C\C=C\c2cccs2)C(=O)S1,4.599999383
CCCCNc1c(-c2cccc(Sc3ccc(OC)cc3)c2)nc2ccccn12.O=C(O)C(F)(F)F,4.450000476
COc1cccc(C2C3=C(N=c4s/c(=C\c5ccc(O)cc5)c(=O)n42)c2ccccc2CC3)c1OC,4.499999679
C=CCOc1ccccc1/C=c1\sc2nc(=O)c(C)nn2c1=O,5.54999737
CCCCCCSc1cc(-c2nc3cc(C)ccn3c2NCCCC)ccc1OC.O=C(O)C(F)(F)F,4.599999383
NC(=S)N/N=C/c1ncc(C(F)(F)F)cc1Cl,4.849999245
CN(C(=O)c1ccc2c(Cl)c3c(nc2c1)CCC3)c1ccccc1,5.450004148
CCCCC(=O)NNC(=S)NC(=O)CCC,4.599999383
CC(C)(C)c1nnc(NS(=O)(=O)c2cc(Cl)ccc2Cl)s1,4.700000504
O=C(/C=C/NNC(=O)c1ccccc1)c1ccc(Br)cc1,4.450000476
O=C(OCC(=O)N1CCc2ccccc2C1)c1ccc(Cl)c([N+](=O)[O-])c1,4.800000875
CC(C#N)Sc1ccc(S(=O)(=O)N2CCCC2)cn1,4.450000476
CC(C)(C)OC(=O)N1CCC(Cc2cc(-c3cccc(Br)c3)no2)(C(=O)O)CC1,4.450000476
Cc1cn2c(-c3ccc(Cl)cc3)nnc2s1,5.250001023
CCOC(=O)c1nc(C)sc1-c1ccnn1S(=O)(=O)c1ccc(Cl)cc1Cl,4.450000476
CC(=O)/C(C#N)=C1\NC(=O)C(Cc2cc(Cl)ccc2Cl)S1,4.450000476
Cc1nn(C)c(Nc2ccc(Br)cc2)c1Br,4.700000504
COc1ccc(-c2cc(C(F)(F)F)n3nc(C(=O)NCC45CC6CC(CC(C6)C4)C5)cc3n2)cc1OC,4.450000476
CCOC(=O)C1=CCN(S(=O)(=O)c2ccc(Br)cc2)C1c1cccc(C)c1,5.250001023
COC(=O)Cn1cnc2c(cnn2-c2ccccc2)c1=O,5.199998172
Cc1cccc(Nc2nc(N)c([N+](=O)[O-])c(N3CCCC(C)C3)n2)c1,4.450000476
Cc1[nH]c2ccccc2c1N=Nc1cccc(C(=O)O)c1,4.450000476
CNC(=O)c1ccc(-c2ccc(Cl)c(Cl)c2)s1,5
O=C(NNc1ccc(F)cc1F)c1c(F)cccc1Cl,5.250001023
CCCOc1ccc(C(=O)C2=C(O)C(=O)N(CCCn3ccnc3)C2c2cccs2)cc1,4.450000476
COCCN(C(=O)COC(=O)c1ccc(Br)o1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,5.450004148
CC1(C(=O)Nc2ccc3c(c2)OCCO3)CN(S(C)(=O)=O)CC(=O)N1CCCN1CCOCC1,5.250001023
O=C(Nc1nnc(-c2ccc3c(c2)CCCC3)o1)c1ccccc1,5.199998172
Cc1ccnc(NC(=S)N2CCN(c3cccc(C(F)(F)F)c3)CC2)c1,4.749999856
COc1cccc(C(=O)CSc2nnnn2C2CCCCC2)c1,4.450000476
CN(C)c1ccc(Nc2nc(N)c3ccccc3n2)cc1.Cl,4.899998417
