Run,Dataset,Model,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
1,kiba,GATNet,0.19327812,0.43963407393878146,0.3419922,0.510226666382431,0.16469232234635808,0.5311057414038934,0.25073105096817017
2,kiba,GATNet,0.1936149,0.44001693161985495,0.338982,0.50022543436383,0.14844488334433079,0.5250871727785646,0.24942547082901
3,kiba,GATNet,0.19172512,0.4378642711484772,0.33967954,0.5078914563084822,0.15720324489991505,0.5356831945941113,0.2567514181137085
4,kiba,GATNet,0.19737966,0.4442743111936774,0.33945134,0.49014584855825927,0.17740739714852438,0.5343091351425117,0.2348308563232422
5,kiba,GATNet,0.19428341,0.4407759191548373,0.33827934,0.5028125776317818,0.1398898997582559,0.5242872066594827,0.2468339204788208
6,kiba,GATNet,0.19035673,0.4362989014595326,0.33279178,0.5220666852642027,0.14659541378791732,0.5290540635926008,0.2620561718940735
7,kiba,GATNet,0.20196931,0.44940995832456665,0.34207088,0.4817494215156624,0.1400857814261534,0.5213626246417798,0.21703845262527466
8,kiba,GATNet,0.19101417,0.4370516796062766,0.3307984,0.5154111082915065,0.15753076286591827,0.5304175352573303,0.25950753688812256
9,kiba,GATNet,0.19258781,0.4388482742070929,0.33257407,0.513326579649982,0.1721432742105414,0.5350055762344184,0.2534071207046509
10,kiba,GATNet,0.19519274,0.4418062237763124,0.34139562,0.49736852705747053,0.1442226596501857,0.5267918064646674,0.24330878257751465
