Run,Dataset,Model,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
1,kiba,GAT_GCN,0.17748497,0.4212896560148357,0.32502443,0.5592709398251344,0.21419746820008898,0.577396722021185,0.3119553327560425
2,kiba,GAT_GCN,0.17753597,0.42135017033187955,0.317501,0.5723475286522781,0.2603333131282776,0.5947983379527455,0.3117576837539673
3,kiba,GAT_GCN,0.17373314,0.4168130816067922,0.31904438,0.57178473686337,0.25944530119008447,0.5951347942910653,0.3264997601509094
4,kiba,GAT_GCN,0.17641267,0.42001508521055303,0.31985748,0.562377921928588,0.23508770098155216,0.5859340075008588,0.316112220287323
5,kiba,GAT_GCN,0.17632367,0.4199091177488496,0.3152766,0.5658996380233068,0.2690420327323608,0.5980111430574705,0.31645727157592773
6,kiba,GAT_GCN,0.17653218,0.42015732662563765,0.32111853,0.564561925355785,0.22181959952383887,0.5803224804596511,0.31564897298812866
7,kiba,GAT_GCN,0.17062467,0.4130673956711503,0.314446,0.5818524539306057,0.2655015250883696,0.5960571081695364,0.3385502099990845
8,kiba,GAT_GCN,0.17234415,0.415143527179489,0.3249854,0.5841550853801197,0.2526974515499534,0.5914867135038987,0.3318844437599182
9,kiba,GAT_GCN,0.17193681,0.4146526377784568,0.31391156,0.5804144588979616,0.25133789092801084,0.591977280962218,0.33346349000930786
10,kiba,GAT_GCN,0.17788757,0.4217672033696242,0.3268978,0.5600043705231166,0.23014762213889223,0.5834564653732313,0.3103945851325989
