Run,Dataset,Model,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
1,kiba,GAT_GCN_GIN,0.18943541,0.4352417805304777,0.32848272,0.5193823454263431,0.1181189309828794,0.5264977012738284,0.26562780141830444
2,kiba,GAT_GCN_GIN,0.1917831,0.4379304743524849,0.33213937,0.5103169184537935,0.09773913353577451,0.5275435393324518,0.2565267086029053
3,kiba,GAT_GCN_GIN,0.18501438,0.43013298176812464,0.330196,0.5325725498872663,0.15282223500243416,0.5455957159461482,0.28276658058166504
4,kiba,GAT_GCN_GIN,0.18998584,0.4358736531526998,0.32614926,0.5212651047112059,0.16985863675932839,0.5358973031730421,0.26349401473999023
5,kiba,GAT_GCN_GIN,0.18991554,0.4357929988356484,0.33128232,0.5257311194342594,0.12453683178430663,0.5266635766014616,0.2637665271759033
6,kiba,GAT_GCN_GIN,0.18851604,0.4341843337523851,0.33283025,0.5189406150698649,0.1371966067993292,0.5347220588304495,0.2691919207572937
7,kiba,GAT_GCN_GIN,0.1838401,0.4287657822131527,0.32604408,0.5380976239420968,0.174635288327799,0.5594057192871831,0.2873188257217407
8,kiba,GAT_GCN_GIN,0.1890291,0.4347747664677285,0.33692342,0.5241372694894213,0.15125372245207125,0.5323715701452645,0.2672029733657837
9,kiba,GAT_GCN_GIN,0.18953715,0.43535864829812687,0.34020874,0.5241421875192658,0.11509382486582022,0.5189168458747629,0.2652333974838257
10,kiba,GAT_GCN_GIN,0.18643862,0.4317853866106224,0.33243465,0.5290706102266407,0.14388177290242934,0.5247283644457411,0.27724528312683105
