Run,Dataset,Model,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
1,kiba,GCNNet,0.18206994,0.4266965459845626,0.32334214,0.5455858483690149,0.21099515604607802,0.5754215115595104,0.29418104887008667
2,kiba,GCNNet,0.18151776,0.42604901704611026,0.32099262,0.5468061119431965,0.22470720138210837,0.5809189257866726,0.29632169008255005
3,kiba,GCNNet,0.18051958,0.42487595935880446,0.32021123,0.5516692743203537,0.2145109725120442,0.5772602572126357,0.3001912236213684
4,kiba,GCNNet,0.18061621,0.4249896644289206,0.32238492,0.551959450389173,0.22078274320902266,0.5798401479466752,0.29981666803359985
5,kiba,GCNNet,0.18036056,0.4246887750445068,0.32131824,0.5530311475287053,0.21888736057168,0.5794248714172106,0.3008077144622803
6,kiba,GCNNet,0.18125151,0.42573643369782793,0.32395023,0.5465790322414363,0.2107074378823958,0.5746603673256192,0.2973538041114807
7,kiba,GCNNet,0.17734075,0.42111844643271484,0.32314304,0.559289134584921,0.21929135906238562,0.5797201530288129,0.31251442432403564
8,kiba,GCNNet,0.18208222,0.42671093366819146,0.32912198,0.5440790823158406,0.21026167998980502,0.5747521281451609,0.2941334843635559
9,kiba,GCNNet,0.1823719,0.42705023063521236,0.32629344,0.5436341273386353,0.21849159059353374,0.579482516034615,0.2930104732513428
10,kiba,GCNNet,0.18385392,0.42878190758758067,0.32591078,0.5446349693081634,0.15617387026162818,0.5425464333275296,0.28726518154144287
