Run,Dataset,Model,MSE,RMSE,MAE,Pearson,Spearman,CI,R2
1,kiba,GINConvNet,0.18848272,0.43414596241307263,0.32827824,0.5204386066007135,0.11413417341653836,0.5416029438753183,0.269321084022522
2,kiba,GINConvNet,0.18473586,0.4298091022778178,0.33225855,0.5374767190134817,0.22290325872052189,0.5420052797763859,0.28384625911712646
3,kiba,GINConvNet,0.18398592,0.42893579794684855,0.32869616,0.5443869035476,0.13419354536073436,0.5264965248530651,0.2867535352706909
4,kiba,GINConvNet,0.18911049,0.43486835674662355,0.3293185,0.5194040745126074,0.13558869564239087,0.5238578130808578,0.2668874263763428
5,kiba,GINConvNet,0.18661599,0.43199072746087386,0.33230877,0.5335851790096559,0.13201024469891418,0.5300504919791632,0.27655768394470215
6,kiba,GINConvNet,0.18898517,0.43472424470446597,0.3328996,0.5176727280818875,0.12658760078568157,0.518083939974307,0.267373263835907
7,kiba,GINConvNet,0.18510452,0.4302377472151873,0.33408275,0.5412702388689106,0.19515790792285545,0.540025363631658,0.2824171185493469
8,kiba,GINConvNet,0.1839655,0.42891200049598066,0.32241032,0.5397180044237563,0.2172335430837012,0.5793013472370582,0.28683269023895264
9,kiba,GINConvNet,0.18605752,0.43134385690879146,0.32723528,0.5362207017539606,0.19591834938772518,0.5325997957733555,0.27872270345687866
10,kiba,GINConvNet,0.19108401,0.4371315733153841,0.32817885,0.517597448946858,0.21299126414874192,0.5291093553684785,0.25923681259155273
